match_no,date,stage,venue,batting_team,bowling_team,innings,over,striker,bowler,bowler_type,runs_of_bat,extras,wide,legbyes,byes,noballs,wicket_type,player_dismissed,fielder
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,0.1,de Kock,Hazlewood,pace,0,0,0,0,0,0,,,
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,0.2,de Kock,Hazlewood,pace,4,0,0,0,0,0,,,
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,0.3,de Kock,Hazlewood,pace,0,0,0,0,0,0,,,
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,0.4,de Kock,Hazlewood,pace,0,0,0,0,0,0,,,
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,0.5,de Kock,Hazlewood,pace,0,0,0,0,0,0,caught,de Kock,Jitesh Sharma
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,0.6,Rahane,Hazlewood,pace,0,0,0,0,0,0,,,
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,1.1,Narine,Yash Dayal,pace,0,0,0,0,0,0,,,
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,1.2,Narine,Yash Dayal,pace,0,0,0,0,0,0,,,
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,1.3,Narine,Yash Dayal,pace,0,0,0,0,0,0,,,
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,1.4,Narine,Yash Dayal,pace,0,0,0,0,0,0,,,
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,1.5,Narine,Yash Dayal,pace,1,0,0,0,0,0,,,
1,"Mar 22, 2025",League stage,"Eden Gardens, Kolkata",KKR,RCB,1,1.6,Rahane,Yash Dayal,pace,0,0,0,0,0,0,,,
